day month sunrise sunrise_angle sunset sunset_angle astr_start astr_end naut_start naut_end civ_start civ_end noon noon_angle sun_distance
27 09 07h52 92  19h48 268 06h18 21h22 06h51 20h48 07h24 20h16 13h50 45.5 149.939
28 09 07h53 92  19h46 268 06h19 21h20 06h52 20h47 07h25 20h14 13h50 45.1 149.896
29 09 07h54 93  19h44 267 06h20 21h18 06h54 20h45 07h26 20h12 13h50 44.7 149.852
30 09 07h56 93  19h42 267 06h21 21h16 06h55 20h43 07h27 20h10 13h49 44.3 149.809
01 10 07h57 94  19h41 266 06h23 21h14 06h56 20h41 07h29 20h09 13h49 43.9 149.765
02 10 07h58 94  19h39 265 06h24 21h13 06h57 20h40 07h30 20h07 13h49 43.6 149.721
03 10 07h59 95  19h37 265 06h25 21h11 06h58 20h38 07h31 20h05 13h48 43.2 149.678
04 10 08h00 95  19h35 264 06h26 21h09 06h59 20h36 07h32 20h03 13h48 42.8 149.634
05 10 08h01 96  19h34 264 06h27 21h07 07h00 20h34 07h33 20h02 13h48 42.4 149.591
06 10 08h02 96  19h32 263 06h28 21h05 07h01 20h33 07h34 20h00 13h47 42.0 149.548
07 10 08h03 97  19h30 263 06h30 21h04 07h03 20h31 07h35 19h58 13h47 41.6 149.505
08 10 08h05 97  19h28 262 06h31 21h02 07h04 20h29 07h36 19h57 13h47 41.3 149.463
09 10 08h06 98  19h27 262 06h32 21h00 07h05 20h28 07h37 19h55 13h47 40.9 149.420
10 10 08h07 98  19h25 261 06h33 20h59 07h06 20h26 07h39 19h53 13h46 40.5 149.378
11 10 08h08 99  19h23 261 06h34 20h57 07h07 20h24 07h40 19h52 13h46 40.1 149.336
12 10 08h09 99  19h22 260 06h35 20h55 07h08 20h23 07h41 19h50 13h46 39.7 149.294
13 10 08h10 100 19h20 260 06h37 20h54 07h09 20h21 07h42 19h48 13h46 39.4 149.253
14 10 08h12 100 19h18 259 06h38 20h52 07h10 20h20 07h43 19h47 13h45 39.0 149.211
15 10 08h13 101 19h17 259 06h39 20h51 07h11 20h18 07h44 19h45 13h45 38.6 149.170
16 10 08h14 101 19h15 258 06h40 20h49 07h13 20h16 07h45 19h44 13h45 38.3 149.128
17 10 08h15 102 19h14 258 06h41 20h48 07h14 20h15 07h47 19h42 13h45 37.9 149.087
18 10 08h16 102 19h12 257 06h42 20h46 07h15 20h13 07h48 19h41 13h44 37.5 149.046
19 10 08h17 103 19h11 257 06h43 20h45 07h16 20h12 07h49 19h39 13h44 37.2 149.004
20 10 08h19 103 19h09 256 06h44 20h43 07h17 20h10 07h50 19h38 13h44 36.8 148.963
21 10 08h20 104 19h07 256 06h46 20h42 07h18 20h09 07h51 19h36 13h44 36.5 148.921
22 10 08h21 104 19h06 255 06h47 20h40 07h19 20h08 07h52 19h35 13h44 36.1 148.880
23 10 08h22 105 19h04 255 06h48 20h39 07h21 20h06 07h53 19h33 13h44 35.8 148.839
24 10 08h24 105 19h03 254 06h49 20h37 07h22 20h05 07h55 19h32 13h44 35.4 148.797
25 10 08h25 106 19h02 254 06h50 20h36 07h23 20h03 07h56 19h30 13h43 35.1 148.756
26 10 07h26 106 18h00 253 05h51 19h35 06h24 19h02 06h57 18h29 12h43 34.7 148.715
27 10 07h27 107 17h59 253 05h52 19h33 06h25 19h01 06h58 18h28 12h43 34.4 148.674
28 10 07h28 107 17h57 252 05h53 19h32 06h26 18h59 06h59 18h26 12h43 34.1 148.633
29 10 07h30 108 17h56 252 05h55 19h31 06h27 18h58 07h01 18h25 12h43 33.7 148.592
30 10 07h31 108 17h55 252 05h56 19h30 06h28 18h57 07h02 18h24 12h43 33.4 148.552
31 10 07h32 109 17h53 251 05h57 19h29 06h30 18h56 07h03 18h23 12h43 33.1 148.512
01 11 07h33 109 17h52 251 05h58 19h27 06h31 18h55 07h04 18h21 12h43 32.8 148.473
02 11 07h35 110 17h51 250 05h59 19h26 06h32 18h53 07h05 18h20 12h43 32.4 148.433
03 11 07h36 110 17h49 250 06h00 19h25 06h33 18h52 07h06 18h19 12h43 32.1 148.395
04 11 07h37 110 17h48 249 06h01 19h24 06h34 18h51 07h08 18h18 12h43 31.8 148.357
05 11 07h38 111 17h47 249 06h02 19h23 06h35 18h50 07h09 18h17 12h43 31.5 148.319
06 11 07h40 111 17h46 249 06h03 19h22 06h36 18h49 07h10 18h15 12h43 31.2 148.282
07 11 07h41 112 17h45 248 06h04 19h21 06h38 18h48 07h11 18h14 12h43 30.9 148.246
08 11 07h42 112 17h43 248 06h06 19h20 06h39 18h47 07h12 18h13 12h43 30.6 148.210
09 11 07h44 113 17h42 247 06h07 19h19 06h40 18h46 07h14 18h12 12h43 30.3 148.175
10 11 07h45 113 17h41 247 06h08 19h18 06h41 18h45 07h15 18h11 12h43 30.1 148.141
11 11 07h46 113 17h40 247 06h09 19h17 06h42 18h44 07h16 18h10 12h43 29.8 148.107
12 11 07h47 114 17h39 246 06h10 19h17 06h43 18h43 07h17 18h09 12h44 29.5 148.073
13 11 07h49 114 17h38 246 06h11 19h16 06h44 18h43 07h18 18h09 12h44 29.3 148.040
14 11 07h50 114 17h37 245 06h12 19h15 06h45 18h42 07h20 18h08 12h44 29.0 148.007
15 11 07h51 115 17h36 245 06h13 19h14 06h47 18h41 07h21 18h07 12h44 28.7 147.975
16 11 07h52 115 17h36 245 06h14 19h14 06h48 18h40 07h22 18h06 12h44 28.5 147.943
17 11 07h54 116 17h35 244 06h15 19h13 06h49 18h40 07h23 18h05 12h44 28.2 147.912
18 11 07h55 116 17h34 244 06h16 19h12 06h50 18h39 07h24 18h05 12h45 28.0 147.880
19 11 07h56 116 17h33 244 06h17 19h12 06h51 18h38 07h25 18h04 12h45 27.8 147.850
20 11 07h57 117 17h32 243 06h18 19h11 06h52 18h38 07h26 18h03 12h45 27.5 147.819
21 11 07h58 117 17h32 243 06h19 19h11 06h53 18h37 07h28 18h03 12h45 27.3 147.789
22 11 08h00 117 17h31 243 06h20 19h10 06h54 18h37 07h29 18h02 12h46 27.1 147.759
23 11 08h01 117 17h30 242 06h22 19h10 06h55 18h36 07h30 18h01 12h46 26.9 147.729
24 11 08h02 118 17h30 242 06h23 19h09 06h56 18h36 07h31 18h01 12h46 26.7 147.700
25 11 08h03 118 17h29 242 06h24 19h09 06h57 18h35 07h32 18h00 12h46 26.5 147.672
26 11 08h04 118 17h29 242 06h25 19h09 06h58 18h35 07h33 18h00 12h47 26.3 147.644
27 11 08h06 119 17h28 241 06h25 19h08 06h59 18h34 07h34 18h00 12h47 26.1 147.616
28 11 08h07 119 17h28 241 06h26 19h08 07h00 18h34 07h35 17h59 12h47 26.0 147.589
29 11 08h08 119 17h27 241 06h27 19h08 07h01 18h34 07h36 17h59 12h48 25.8 147.563
30 11 08h09 119 17h27 241 06h28 19h08 07h02 18h34 07h37 17h59 12h48 25.6 147.537
01 12 08h10 120 17h27 240 06h29 19h07 07h03 18h33 07h38 17h58 12h48 25.5 147.512
02 12 08h11 120 17h26 240 06h30 19h07 07h04 18h33 07h39 17h58 12h49 25.3 147.487
03 12 08h12 120 17h26 240 06h31 19h07 07h05 18h33 07h40 17h58 12h49 25.2 147.464
04 12 08h13 120 17h26 240 06h32 19h07 07h06 18h33 07h41 17h58 12h50 25.1 147.441
05 12 08h14 120 17h26 240 06h33 19h07 07h07 18h33 07h42 17h58 12h50 24.9 147.420
06 12 08h15 121 17h26 239 06h34 19h07 07h08 18h33 07h43 17h58 12h50 24.8 147.399
07 12 08h16 121 17h26 239 06h35 19h07 07h09 18h33 07h44 17h57 12h51 24.7 147.379
08 12 08h17 121 17h26 239 06h35 19h07 07h10 18h33 07h45 17h57 12h51 24.6 147.360
09 12 08h18 121 17h26 239 06h36 19h07 07h10 18h33 07h46 17h58 12h52 24.5 147.342
10 12 08h19 121 17h26 239 06h37 19h07 07h11 18h33 07h47 17h58 12h52 24.4 147.324
11 12 08h20 121 17h26 239 06h38 19h08 07h12 18h33 07h48 17h58 12h53 24.3 147.308
12 12 08h20 121 17h26 239 06h38 19h08 07h13 18h33 07h48 17h58 12h53 24.2 147.292
13 12 08h21 121 17h26 239 06h39 19h08 07h13 18h34 07h49 17h58 12h54 24.2 147.277
14 12 08h22 122 17h26 238 06h40 19h08 07h14 18h34 07h50 17h58 12h54 24.1 147.262
15 12 08h23 122 17h26 238 06h41 19h09 07h15 18h34 07h51 17h59 12h55 24.1 147.248
16 12 08h23 122 17h27 238 06h41 19h09 07h16 18h35 07h51 17h59 12h55 24.0 147.234
17 12 08h24 122 17h27 238 06h42 19h09 07h16 18h35 07h52 17h59 12h56 24.0 147.222
18 12 08h25 122 17h27 238 06h42 19h10 07h17 18h35 07h52 18h00 12h56 24.0 147.209
19 12 08h25 122 17h28 238 06h43 19h10 07h17 18h36 07h53 18h00 12h57 23.9 147.198
20 12 08h26 122 17h28 238 06h44 19h11 07h18 18h36 07h54 18h00 12h57 23.9 147.186
21 12 08h26 122 17h29 238 06h44 19h11 07h18 18h37 07h54 18h01 12h58 23.9 147.176
22 12 08h27 122 17h29 238 06h45 19h12 07h19 18h37 07h55 18h01 12h58 23.9 147.166
23 12 08h27 122 17h30 238 06h45 19h12 07h19 18h38 07h55 18h02 12h59 23.9 147.156
24 12 08h28 122 17h30 238 06h45 19h13 07h20 18h38 07h56 18h03 12h59 24.0 147.147
25 12 08h28 122 17h31 238 06h46 19h13 07h20 18h39 07h56 18h03 13h00 24.0 147.139
26 12 08h28 122 17h32 238 06h46 19h14 07h21 18h40 07h56 18h04 13h00 24.0 147.132
27 12 08h29 122 17h32 238 06h47 19h15 07h21 18h40 07h57 18h05 13h01 24.1 147.125
28 12 08h29 122 17h33 238 06h47 19h15 07h21 18h41 07h57 18h05 13h01 24.1 147.119
29 12 08h29 122 17h34 239 06h47 19h16 07h22 18h42 07h57 18h06 13h02 24.2 147.113
30 12 08h29 121 17h35 239 06h47 19h17 07h22 18h42 07h57 18h07 13h02 24.2 147.109
31 12 08h30 121 17h36 239 06h48 19h17 07h22 18h43 07h57 18h08 13h02 24.3 147.105
